"issuekey","type","components","storypoint","title","description_text"
"ALOY-1132","Bug","Samples & Templates",2," 'testing/ALOY-1058' sample code is using quoted type value","""h5. Problem description  Sample code for ALOY-1058 is using a value for the type property with quotes, while, setting the type from the TSS, it should be used with no quotes.  Not a regression.     From the sample code """"index.tss"""", type is defined in this way:      while type should be:      h5. Steps to reproduce  1. Run the sample code  Result: Running the sample, the picker is actually showing DATE as a type when run, but the constant values should be used with no quotes in the TSS.  Here is the compiled code from Resources/iphone/alloy/controller/index.js:      2. Change index.tss picker stile to:      Result: compiled code is:       However, DATE type picker is still shown (not DATE_AND_TIME).  Considering the generated code, this could be a behavior issue relative to how SDK is handling the Picker type property, not Alloy. Investigating and creating a Classic Titanium sample.    3. Change the picker style to:       Result: Picker DATE_AND_STYLE is shown. Compiled code also looks good:      h5. Note  My suggestion for the sample is to use the DATE_AND_TIME picker as type in case of iOS.  i.e.  """
"ALOY-1131","Bug","Samples & Templates",2,"ALOY-1028 sample test is not included in master or 1_5_X branch","""ALOY-1028 sample test is not icluded in master or 1_5_X branch  In present in 1_4_X branch (and works fine with latest 1_5_X). """
"ALOY-1130","Bug","Samples & Templates",2,"""ui/map"" sample code error for mobileweb","""h5. Problem description  Ui/Map module sample is not runnable on MobileWeb for a typo in the code    h5. Steps to reproduce  1. Import ui/map sample  2. Run in MobileWeb  Result: 'Uncaught reference - ti is not defined at /index.html'    The code for MobileWeb is       """"ti.map"""" should be changed into """"Ti.Map"""".  """
"ALOY-1129","Improvement","Models",3,"Delete method shouldn't reset model's id","""Community PR https://github.com/appcelerator/alloy/pull/547    """"Model's ID should not be deleted (reset) in the adapter. The problem is that after the Sync is done Backbone will trigger destroy which will execute a method called _onModelEvent -> remove ,but model doesn't have an id anymore ,so it won't be deleted from a collection - set _byId. If you try to add a new model to the collection with the same ID, backbone will not allow you to do that because the ID already exists in the set."""""""
"ALOY-1134","Improvement","Samples & Templates",3,"Add @3x images and new icon sizes to new-app templates and samples","""To support the iPhone 6/6+ screen sizes, we will need to add new icons and launch screen images to our new-app templates and samples.    See https://developer.apple.com/library/prerelease/ios/documentation/UserExperience/Conceptual/MobileHIG/IconMatrix.html#//apple_ref/doc/uid/TP40006556-CH27-SW1 for the complete list.    For iPhone 6, launch images:     750 x 1334 (@2x) for portrait  1334 x 750 (@2x) for landscape    For iPhone 6 Plus:    1242 x 2208 (@3x) for portrait  2208 x 1242 (@3x) for landscape    New icons: 180x180, 120x120, 87x87 """
"ALOY-1133","Bug","Models|Tooling",3,"Alloy 1.5b fails to build a project using Napp Drawer if one of the menus is <Required> ed in.","""h4. Expectation  Project to build    h4. Reality  Project doesn't build    """
"ALOY-1135","Bug","Styling",2,"iOS: TextField: Textfield is not visible on window when styles applied in tss file","""Textfield not visible on window when styles applied in tss  Not a regression. Since issue occurs with 3.3.0.GA also    *Steps to reproduce:*  1. Create Alloy Project. Replace the js files with code mentioned below  2. Run the app.    index.js:      index.xml:      index.tss:      {color:green}*Expected Result:*{color}  2. Textfield must be visible.    {color:red}*Actual Result:*{color}  Textfield is not visible.    Note: if the styles are applied on xml file itself. Then Textfield is visible.      """
"ALOY-1137","Bug","Samples & Templates",3,"Jake: not able to run project from Studio on Genymotion if not manually editing tiapp.xml","""h5. Problem description  After using Jake to import, setup and run an Alloy project in Appcelerator Studio, is not possible to run it on Genymotion emulators if not manually editing first tiapp.xml.    h5. Steps to reproduce  1. Import the Harness project in Appcelerator Studio  2. Import any Alloy project using Jake.  ex.    3. Run on Genymotion simulator the Harness project from Studio.    Result:  App fails to build and run      3. Open tiapp.xml and save. Run again.  Result: project build and run and expected.    Seems to be reproducible only when building/running on Genymotion. Android Emulator and Android device launch as expected."""
"ALOY-1139","Story","Tooling",8,"Investigate options for automated testing","""Investigate the use of tiO2 for automated runtime testing to improve our test coverage and improve quality for Alloy development."""
"ALOY-1138","Bug","Appcelerator Studio|Tooling",3,"Error creating a new Widget from Studio if config.json is not present","""h5. Problem description  If no config.json file is present, creating a new Widget returns an error.    h5. Steps  1. Create a new Alloy project  2. Delete config.json file in the root project folder  3. From Appcelerator Studio, left click and create a new Widget    Result: a problem occurred creating a new widget.  Widget folder is created but config.json file is not found and an error is thrown.      Ideal result would probably be to automatically create a default config.json file and add in there the informations regarding the new created Widget.    If config.json file is removed, then, in order to create a new Widget, the user has to re-create manually a new config.json file just including : {{ {} }}      h5. Note  Not a regression.   """
"ALOY-1140","Bug","Appcelerator Studio",8,"Windows: The path format for app.js is different from controller files in sourcemap","""The sourcemap contains different source location path format for app.js file compared to controller files on Windows platform.    The map file for app.js is :      The map file for index.js is :      Due to the difference of path formats, Studio fails to parse the paths and the debugger fails to stop at the expected breakpoints.    We need to investigate the difference in the path generation and ideally, in order to handle the paths consistently across all platforms, it might be better to have the paths in unix format."""
"ALOY-1142","Bug","Samples & Templates",2,"iOS: ALOY-720 sample: <NavigationGroup> object needs to be changed to <NavigationWindow>","""h5. Problem description  <NavigationGroup> is no longer supported for iOS. Instead, NavigationWindow object should be used.     Sample https://github.com/appcelerator/alloy/tree/master/test/apps/testing/ALOY-720 needs to be updated as still using NavigationGroup and currently failing to run.     Ideally, a mobileweb folder using NavigationGroup should be created in the sample."""
"ALOY-1141","Bug","Samples & Templates",3,"iOS, Jake: Harness project from Studio on iPhone simulators might use wrong Sim version","""h5. Problem description  Following https://jira.appcelerator.org/browse/ALOY-956, SDK hardcoded version has been removed from tiapp.xml when importing a project in the Harness project.    Using iOS 8 simulators and Studio this could lead to running a wrong Simulator version if running the project just after importing it without first editing tiapp.xml    h5. Steps to reproduce  1. Import Harness project in Studio (included in <alloy repo>/test/projects/Harness  2. Setup a sample test.  For example:    3. Run the project from Studio on iOS8>iPhone6+ simulator    Result: iPhone 5S/iOS8 simulator is launched instead    4. Edit tiapp.xml from Studio. Studio will add tiapp.xml version selected from """"ti sdk select"""". Change nothing but save and close. Run the project again on iOS8>iPhone6+ simulator  Result: iPhone6+ simulator is correctly launched now.     h5. Note  Apparently this happens only for iOS 8 simulators.   Been able to launch the desired Simulator version choosing OS v7.1 or v7.0.3 """
"ALOY-1145","Story","Testing",2,"Add ALOY-1144 test case app to master branch","""A community pull request for ALOY-1144 was merged to master. It did not include a test app. I added one for the corresponding PR I created to implement the fix in the 1_5_X branch. This ticket is to add that test app to the test/apps/testing folder for the master branch."""
"ALOY-1144","Bug","Styling",3,"Alloy: createStyle turns proxy objects into JS objects","""In Alloy 1.5.0 [{{Alloy.createStyle()}}|https://github.com/appcelerator/alloy/blob/master/Alloy/lib/alloy.js#L233] uses a new utility method [{{deepExtend}}|https://github.com/appcelerator/alloy/blob/master/Alloy/lib/alloy.js#L609] to clone the merged properties. However, because of its implementation a proxy object like the transform passed as a default in the following example [will be turned into a JS object|https://github.com/appcelerator/alloy/blob/master/Alloy/lib/alloy.js#L652]:    {code:js}  $.someView.animate($.createStyle({    id: 'someId',    transform: Ti.UI.create2DMatrix().scale(.5, .5),    duration: 500  }));  {code}    I have a PR to fix {{deepExtend}} by checking for {{.__prototype}} before cloning objects:    - https://github.com/appcelerator/alloy/pull/567"""
"ALOY-1152","Bug","XML",5,"Alloy 1.5.0 RC3: Compiler fails on TextArea with child control","""Problem:    Placing a child control inside a TextArea that is part of a ListView template causes the Alloy compiler to fail with:    {quote}  [ERROR]  Cannot read property 'symbol' of undefined  [ERROR]  Alloy compiler failed  {quote}    Test:     Build the sample code below.    {code:title=index.xml}  <Alloy>   <Window>          <ListView>              <Templates>                  <ItemTemplate name=""""tMsg"""">                      <TextArea bindId=""""cMsg"""">                          <Label bindId=""""lHintText"""" />                      </TextArea>                  </ItemTemplate>              </Templates>              <ListSection>                  <ListItem itemId=""""liMessage"""" template=""""tMsg"""" />                                  </ListSection>          </ListView>   </Window>  </Alloy>  {code}      If you remove {{<Label bindId=""""lHintText"""" />}} from the TextArea control. It compiles fine.      The code above worked fine under Alloy 1.3 and 1.4.    """
"ALOY-1149","Bug","Styling",5,"iOS: Gradient array properties are converted into objects","""h5. Problem description  Gradients contain properties as array, for example the 'color' property.   In Alloy, those properties are now converted and passed as objects and an app is crashing if using those properties.     The issue seems to be introduced after ALOY-1051 as is not reproducible using Alloy version 1.4.1 (and Alloy 1.5.0-rc3 as well - see ALOY-1146, where a regression was introduced breaking Aloy-1051), but is reproducible with Alloy 1.5.0-rc, 1.5.0-rc2 and 1.5.0-rc5.  Is therefore a regression.    h5. Steps to reproduce  1. Grab the sample code for ALOY-717 : https://github.com/appcelerator/alloy/tree/master/test/apps/testing/ALOY-717  2. Run the sample app on iOS (any version)  Result: App crashes with an """"Application Error - Invalid type passed to function at alloy.js""""  See error log attached and screenshot.     3. Edit index.tss and comment the 'colors' property for .bgGradient class:    and run on iOS devices  Result: app runs fine and no error are thrown.   """
"ALOY-1148","Improvement","Samples & Templates",2,"Update model template code to include Backbone 1.1.2 support code","""Per ALOY-1074, if a developer uses Backbone 1.1.2 (rather than the default 0.9.2), he/she must extend the collection definition to account for a breaking change in backbone.    Add this to the modelcode.js template file to provide guidance to developers attempting to use this feature.    """
"ALOY-1150","Bug","Documentation",1,"Release notes: there is no date for the 1.5.0 release","""h5. Problem description  A date for the 1.5.0 release should be added to the release notes.  Alloy CHANGELOG.md in the Github 1.5.0 branch currently says:      Therefore the current release date (09/29/2014) should be added.  """
"ALOY-1156","Improvement","Documentation",2,"Update readme to prune outdated information","""Text in the Getting Started, Additional Notes, Feedback, Contributing, and Contributors sections is perhaps dated. We should confirm that text still applies and prune outdated or extraneous information as needed.    Add info on the new --testapp attribute in the Running Sample Test Apps section    Update jakelib/readme.md to note commands to use with the new iOS8 simulators (how to launch a specific sim)`  """
"ALOY-1163","Bug","Runtime|Styling",5,"Using $.UI.create on a ListView with Custom Data templates causes to hide rows when templates are created programmatically.","""h4. Problem Description  When using the $.UI.create function for ListViews using custom item templates causes the listitems not to show.    h4. Steps to reproduce  1. Create a new mobile project  2. Add this testcase  h4. index.xml:      h4. index.js (Example from docs)      However, switching to Ti.UI.create<Type>() {} works:  index.js:    3. Test in device    h4. Results  According to the Appcelerator documentation Alloy Dynamic Styles """"Since Alloy 1.2.0, Alloy supports changing styles dynamically or during runtime. There are two methods to support dynamic styling in Alloy. You can either generate a dynamic style dictionary that can be passed to applyProperties or a create method, or modify TSS class styles to an existing component on the fly.""""    Using """"$.UI.create"""" in SDK 3.4.0.GA and Alloy 1.5.1 causes listview rows hide. Whether in SDK 3.3.0.GA and Alloy 1.4.0 it works fine.    h4. Extra information  Both examples used to work in Ti SDK 3.3.X and iOS 7.X and Alloy 1.4.X  """
"ALOY-1157","Bug","Tooling",5,"Creating sample app from advanced/android_density doesn't copy resolution-specific image folders ","""*Steps:*    1. Create a new Alloy app from the advanced/android_density sample         Note that the source android_density code includes the following res-* folders each containing 'theImage.png' at different pixel densities.        2. Examine contents of the generated Alloy project's *appname/app/assets* directory.     *Results*    The res-* folders and contents were not copied into the new project's corresponding assets/android/images folder, as shown below:        *Expected*  The res-* folders and their contents are merged in with the existing assets/android/images folder contents.    """
"ALOY-1241","Bug","Widgets",5,"Alloy: Widget is loaded - initialized twice","""Widget within TableViewSection is initialized twice.    index.xml      widget.xml      widget.js      Console output:  """
"ALOY-1158","Improvement","Testing",3,"Alloy Model/Collection tests need to be updated for supporting also Backbone 1.1.2","""h5. Problem description  According to https://jira.appcelerator.org/browse/ALOY-576 we are upgrading Backbone version from 0.9.2 to 1.1.2    Backbone 0.9.2 will still there but will be deprecated in Alloy 1.6.0 - also 1.1.2 is going to break old samples and code, therefore need to be updated.     See also docs: https://jira.appcelerator.org/browse/TIDOC-1895  """
"ALOY-1160","Improvement","Samples & Templates",3,"Replace splash screens & icons for new projects","""We need to replace the draft Alloy icons & splash screens used for new projects prior to the 1.6 release."""
"ALOY-1159","Improvement","Builtins",3,"Update underscore library to latest version","""Update underscore lib, per PR https://github.com/appcelerator/alloy/pull/578    Need to update both runtime and build-time versions of the lib."""
"ALOY-1162","Bug","Models",3,"Backbone 1.1.2 : <model/property> sample returning unexpected data for model attributes","""h5. Problem description  Using Backbone 1.1.2, sample app included in <model/properties> returns unexpected data values when fetching for stored persistent Model data (using properties adapter).    h5. Steps to reproduce  Currently working on narrowing down the sample code. However it can be reproduced by getting the alloy sample for model/properties (https://github.com/appcelerator/alloy/tree/master/test/apps/models/properties )    1. Import the sample code  2. Add backbone support in config.json and in the 'exports.definition = {}' add:    3. Edit models/modelTab.js and add    4. Run  5. Click on Increment a few times. Then close the app.  Result: label is updated accordingly as expected, incrementing the count. Displayed label is something like:    6. Reopen the app  Displayed label is now different than expected, returning a new model with count 0 and the previous created/incremented models.   See attachment.      """
"ALOY-1161","Bug","Models",3,"MobileWeb: using 'backbone 1.1.2' dependency, app crashes on MobileWeb","""h5. Problem description  Accordingly to https://jira.appcelerator.org/browse/ALOY-1074 Backbone 1.1.2 is now selectable in config. json  However, if 1.1.2 is selected, MobileWeb projects are not runnable.     h5. Steps to reproduce  1. Create a new Alloy project  2. Edit config.json and add    3. Run on MobileWeb    Result: Application error is displayed. See screenshot    Using Backbone 0.9.2 it runs as expected."""
"ALOY-1165","Bug","Styling",3,"Compile error when merging backgroundGradient","""PR: https://github.com/appcelerator/alloy/pull/588    Review pull request, create test case / sample app to be added to test suite"""
"ALOY-1167","Improvement","Tooling",3,"Update travis.yml to exit w/non-zero value on errors","""GitHub builds are marked as passing even when errors are encountered by Travis. Our test scripts must be exiting with a non-zero value in the case of errors.    We should add an {{after_script}} section that exits with 0/non-zero to properly signal build state.    http://docs.travis-ci.com/user/build-configuration/"""
"ALOY-1166","Bug","Samples & Templates",2,"Direction arrow in models/binding_dataFunction test sample not correct on Android ","""https://github.com/appcelerator/alloy/tree/master/test/apps/models/binding_dataFunction    1. Build and run for Android and iPhone.    Results: Direction arrow on Android is center-aligned; on iOS, the arrow is left-aligned.    Expected: Arrow position same on both platforms."""
"ALOY-1170","Bug","Samples & Templates",3,"SQL runtime error when running models/listview_binding test app","""Steps:    1. Build/run https://github.com/appcelerator/alloy/tree/1_5_X/test/apps/models/binding_listview for Android or iOS    Results:   On iOS, the following error is generated:    {quote}  [DEBUG] 2014-10-16 10:02:57.854 binding_listview[31708:445138] [ERROR] A SQLite database error occurred on database '/Users/tstatler/Library/Developer/CoreSimulator/Devices/861898C4-B00A-46FE-B8BF-AF20F274270C/data/Containers/Data/Application/8411B43C-2D41-4140-BD17-9F5275B43166/Library/Private Documents/_alloy_.sql': Error Domain=com.plausiblelabs.pldatabase Code=3 """"An error occured parsing the provided SQL statement."""" UserInfo=0x7c93c470 {com.plausiblelabs.pldatabase.error.vendor.code=1, NSLocalizedDescription=An error occured parsing the provided SQL statement., com.plausiblelabs.pldatabase.error.query.string=INSERT INTO info (title,subtitle,image) VALUES (?,?,?);, com.plausiblelabs.pldatabase.error.vendor.string=table info has no column named title} (SQLite #1: table info has no column named title) (query: 'INSERT INTO info (title,subtitle,image) VALUES (?,?,?);')  [ERROR] Script Error {  [ERROR]     backtrace = """"#0 () at file:///Users/tstatler/Library/Developer/CoreSimulator/Devices/861898C4-B00A-46FE-B8BF-AF20F274270C/data/Containers/Bundle/Application/DA7AB9EB-0FAB-4D30-BB29-2E1CD5D26933/binding_listview.app/alloy/models/Info.js:54\n#1 Migrate() at file:///Users/tstatler/Library/Developer/CoreSimulator/Devices/861898C4-B00A-46FE-B8BF-AF20F274270C/data/Containers/Bundle/Application/DA7AB9EB-0FAB-4D30-BB29-2E1CD5D26933/binding_listview.app/alloy/sync/sql.js:245\n#2 () at file:///Users/tstatler/Library/Developer/CoreSimulator/Devices/861898C4-B00A-46FE-B8BF-AF20F274270C/data/Containers/Bundle/Application/DA7AB9EB-0FAB-4D30-BB29-2E1CD5D26933/binding_listview.app/alloy/sync/sql.js:341\n#3 () at file:///Users/tstatler/Library/Developer/CoreSimulator/Devices/861898C4-B00A-46FE-B8BF-AF20F274270C/data/Containers/Bundle/Application/DA7AB9EB-0FAB-4D30-BB29-2E1CD5D26933/binding_listview.app/alloy.js:128\n#4 () at file:///Users/tstatler/Library/Developer/CoreSimulator/Devices/861898C4-B00A-46FE-B8BF-AF20F274270C/data/Containers/Bundle/Application/DA7AB9EB-0FAB-4D30-BB29-2E1CD5D26933/binding_listview.app/alloy/models/Info.js:59"""";  [ERROR]     line = 93;  [ERROR]     message = """"invalid SQL statement"""";  [ERROR]     nativeLocation = """"-[TiDatabaseProxy execute:] (TiDatabaseProxy.m:191)"""";  [ERROR]     nativeReason = """"Error Domain=com.plausiblelabs.pldatabase Code=3 \""""An error occured parsing the provided SQL statement.\"""" UserInfo=0x7c93c470 {com.plausiblelabs.pldatabase.error.vendor.code=1, NSLocalizedDescription=An error occured parsing the provided SQL statement., com.plausiblelabs.pldatabase.error.query.string=INSERT INTO info (title,subtitle,image) VALUES (?,?,?);, com.plausiblelabs.pldatabase.error.vendor.string=table info has no column named title}"""";  [ERROR]     sourceId = 299232704;  [ERROR]     sourceURL = """"file:///Users/tstatler/Library/Developer/CoreSimulator/Devices/861898C4-B00A-46FE-B8BF-AF20F274270C/data/Containers/Bundle/Application/DA7AB9EB-0FAB-4D30-BB29-2E1CD5D26933/binding_listview.app/alloy/sync/sql.js"""";  [ERROR] }   [ERROR] Script Error Module """"alloy/models/Info"""" failed to leave a valid exports object  {quote}"""
"ALOY-1174","Improvement","Models",5,"Update sync adapters to support promises in addition to callbacks","""Per comments at [Hacking alloy to get promises to work|https://github.com/aaronksaunders/tiConnectSampleApp#hacking-of-alloyjs-to-get-promises-to-work], the core model/collection constructors could be modified simply to support using promises in addition to callbacks. As shown in [Aaron's TiConnect sample|https://github.com/aaronksaunders/tiConnectSampleApp/blob/master/app/alloy.js#L22] the change involves returning the results of the sync call.    Resolving this cannot break existing apps, so extensive testing should be done on all platforms."""
"ALOY-1173","Story","Tooling",5,"Add functionality from alloy-smelter to Alloy","""The https://github.com/k0sukey/alloy-smelter offers some nice capabilities that should perhaps be included in Alloy itself. For example, copying/moving/renaming/deleting controllers.    Sub-tickets will be needed to implement the individual features.    Alternately, alloy-smelter could be wrapped, providing """"alloy foo"""" commands that call to smelter."""
"ALOY-1172","Bug","Samples & Templates",3,"Properties test sample: Collection view doesn't update after adding first item on Android","""Steps:    1. Create an Alloy application from the [models/properties|https://github.com/appcelerator/alloy/tree/master/test/apps/models/properties] sample.  2. Build, run on Android.  3. Click Collections tab.  4. Enter text in input and click add/+ buttton.    Results: New item doesn't appear in TableView.  Expected: Item appears in tableview.    Subsequent items added to the collection appear in the TableView, it's just the first one that doesn't. Works as expected on iOS (sim)."""
"ALOY-1177","Improvement","XML",3,"Implicitly set ns attribute for SearchView to Ti.UI.Android","""When declaring a SearchView element in XML markup, Alloy should assign it the 'Ti.UI.Android' namespace.  Alloy is currently doing this for a lot of iOS-specific components.    These two items should be equivalent.      """
"ALOY-1175","Bug","XML",5,"Cannot call methods or access properties on MenuItems declared in markup","""DESCRIPTION:  Cannot call methods or access properties using the `id` attribute of MenuItems created in XML markup.  Related feature ticket: ALOY-1098    REPRODUCTION:  Run the Alloy application below.  Hit the Expand or Collapse action items or try to expand the action view from the overflow menu.    RESULTS:  Trying to call a method or accessing a property results in 'Cannot read property of undefined` or `Cannot call method X of undefined`.                `index.xml`      `index.js`      Classic Examples:      """
"ALOY-1209","Bug","XML",8,"Compile error when a view's attribute contains an escaped quote","""The following view:        Will result in the following compile error:        I'd expect this to work fine since the {{""""}} is escaped?"""
"ALOY-1225","Bug","Builtins",3,"social.js authorize UI crashes on android","""Upon calling the 'authorize' method, the loading view opens and then immediately crashes, resulting in the following error.     [INFO] :   libc: Fatal signal 11 (SIGSEGV) at 0x00000014 (code=1), thread 2206 (KrollRuntimeThr)    The behavior is consistent. However, if I open and close a facebook authorize dialog before opening the twitter authorize dialog, the twitter dialog will usually work. The issue may lie in the """"popIn"""" animation: it appears that the window expands beyond the mobile screen viewport, and will crash at about the time the window should zoom back into the viewport.   See the attached video for a demo of the bug.     Functionality is fine in iOS v 8.1.     Other notes:  * Line 514 of the social.js file makes us of the deprecated """"Ti.UI.AUTODETECT_NONE""""   * The default navigation/action bar at the top becomes visible"""
"ALOY-1195","Improvement","Samples & Templates|Tooling",3,"Alloy Migrations: Template up.down functions do not match documentation","""When generating a migration with the Alloy CLI (1.5.1), the generated file has this code:      But documentation uses 'migrator' in place of 'db' for the function parameter.    Since the passed-in object itself has a 'db' parameter, the 'migrator' naming helps to avoid potential confusion.    migrator.db.execute(...)    vs.    db.db.execute(...)"""
"ALOY-1206","Bug","Tooling",8,"Alloy compiler doesn't regenerate controllers if only change is made to the distribution target","""When building for a different target environment (development, test or production) conditional code in {{app/alloy.js}} is not updated in {{Resources/\[platform\]/app.js}}. This can cause serious errors when relying on the conditions for particular behaviour in ad-hoc and app store builds.    h1. Test case    1. Create a project: {{ti create -t app -p ios -n conditions --id test.conditions -d .}}  2. Make it Alloy: {{cd conditions && alloy new}}  3. Insert the following snippet in both {{app/alloy.js}} and {{app/controllers/index.js}}:        4. Build the production for Simulator: {{ti build -p ios -b}}  5. Confirm that both {{Resources/iphone/app.js}} and {{Resources/iphone/alloy/controllers/index.js}} only have {{console.debug(""""if (ENV_DEVELOPMENT)"""");}} which is correct  6. Build for ad-hoc or to device: {{ti build -p ios --target dist-adhoc}}  7. Confirm that {{Resources/iphone/app.js}} still has {{console.debug(""""if (ENV_DEVELOPMENT)"""");}} while {{Resources/iphone/alloy/controllers/index.js}} is correctly updated to have {{console.debug(""""if (ENV_PRODUCTION)"""");}}"""
"ALOY-1202","Bug","Samples & Templates",3,"Update ti.paint module in HarnessTemplate with a 64-bit compatible version","""The HarnessTemplate includes the ti.paint module for use with the test/apps/advanced/native_modules sample. The version included is 32-bit only. Update to a 64-bit version.    Incidentally, there is an Android version of this module. The sample app could be updated to work on both iOS and Android (it is iOS-only currently)."""
"ALOY-1215","Bug","Samples & Templates",3,"Samples: Alloy RSS Reader sample does not work on iPad","""This is not a regression as the issue occurs in SDK 3.4.0.GA as well.    Steps to Reproduce:  1. Import the Alloy - RSS Reader sample in studio  2. Run the sample project on iPad device or simulator    Actual Result:  The app installs and launches successfully but does not show any content. Only waiting spinner is shown continuously.    Expected Result;  The RSS Reader sample app should show the RSS feeds"""
"ALOY-1205","Bug","Samples & Templates",2,"Alloy launch image for 667h has the wrong filename","""It is named {{Default-Portrait-667h@2x.png}} but should be {{Default-667h@2x.png}} like the classic template has:    https://github.com/appcelerator/titanium_mobile/tree/master/iphone/templates/app/default/template/Resources/iphone    PR: https://github.com/appcelerator/alloy/pull/637"""
"ALOY-1210","Improvement","Runtime",5,"Alloy: Add support for DIST in the Project Configuration File","""Recently, in Alloy 1.4.0 {{DIST_ADHOC}} and {{DIST_STORE}} were added the options for [conditional code in controllers|http://docs.appcelerator.com/titanium/latest/#!/guide/Alloy_Controllers-section-34636384_AlloyControllers-ConditionalCode].    I'd like to also have support the same conditions in {{config.json}}.    The use case would be to have different endpoints, keys or other configuration variables for production ad-hoc builds and production store-builds.    Example:    """
"ALOY-1207","Improvement","Themes",5,"Alloy: Theme ""lib"" folder","""Although there's no real difference between the Alloy {{assets}} and {{lib}} folder, themes should also support the latter so that to theme a utility module you have in {{app/lib/util.js}} you no longer need to put this in {{app/themes/mine/assets/util.js}}.    PR incoming.."""
"ALOY-1232","Bug","Tooling",5,"--deploy-type ignored on android builds for emulator and device","""h4. Problem Description  The argument --deploy-type or -D is ignored if the target is android, always generating 'development' for emulator and 'test' for device, even if specified the other way. iOS works fine. I didn't test all the others platforms.    h4. Steps to reproduce  Since we use these settings to trigger our testing scripts, figured I'd give it a test. Ti.App.deployType seems to work fine here. But your settings from the config.json file do not.  added the following to my alloy.js to test faster:      Results:  Genymotion Google Nexus 5 - 5.0.0 - API 21 - 1080x1920 (5.0.0)        Genymotion Samsung Galaxy S5 - 4.4.4 - API 19 - 1080x1920 (4.4.4)        Device Samsung S4        h4. Steps to reproduce  I used these commands for testing:                  h4. Extra info  Seems like CFG.js doesn't get updated under resources once you switch the deployType flag. Deleting the content of Resources (aka forcing regeneration of CFG.js) will go and use the right config."""
"ALOY-1214","Improvement","Samples & Templates",3,"Button in Inheritance sample app difficult to click on iOS","""Steps    1.Build and run https://github.com/appcelerator/alloy/tree/master/test/apps/advanced/inheritance on an iPhone device or simulator.  2. Try to click the baseDialog button.    Results: Because the button is partially covered by the status bar it's hard to click, even with a mouse pointer.  Expected: Button easy to click with finger or mouse.        """
"ALOY-1285","Bug","Styling",5,"TSS conditional statement is ignored by items dynamically generated on runtime","""Below is the sample of the TSS condition statement:  """".date[if=false]"""": {   backgroundColor: """"#f00""""   }    This always gets executed, even if logically it shouldn't be.  It happens to elements created on runtime by this code:    label = $.UI.create('Label', { text: displayDate, classes: ['date']} );"""
"ALOY-1216","Improvement","Tooling",5,"Speed compilation by enabling selective compiles of specified files","""Community PR https://github.com/appcelerator/alloy/pull/625     * PR needs testing to confirm it works as described and introduces no side-effects/regressions  * Add unit tests  * Open related docs tickets, update ALOY-757 & ALOY-620 as needed.  """
